N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
183,대웅제약,"126,000","하락
				3,100",-2.40%,"2,500","14,599","11,587",9.32,"35,289",14.10,17.70,
184,DGB금융지주,"8,590","상승
				110",+1.30%,"5,000","14,530","169,146",42.72,"432,151",6.37,6.73,
185,ACE 미국S&P500,"21,075","상승
				95",+0.45%,0,"14,521","68,900",0.00,"369,461",N/A,N/A,
186,하이트진로,"20,650","하락
				300",-1.43%,"5,000","14,483","70,134",9.23,"156,814",13.45,3.16,
187,한화엔진,"17,310","상승
				620",+3.71%,"1,000","14,445","83,447",7.82,"2,622,815",38.21,-0.19,
188,HD현대인프라코어,"7,410","상승
				170",+2.35%,"1,000","14,276","192,656",11.11,"977,814",23.98,13.37,
189,KODEX 미국나스닥100TR,"19,480","상승
				95",+0.49%,0,"14,084","72,300",0.08,"877,963",N/A,N/A,
190,RISE 종합채권(A-이상)액티브,"107,130","상승
				185",+0.17%,0,"13,599","12,694",0.00,767,N/A,N/A,
191,동원시스템즈,"46,500","상승
				350",+0.76%,"5,000","13,481","28,991",14.31,"10,164",20.03,8.56,
192,HDC현대산업개발,"20,350","상승
				970",+5.01%,"5,000","13,412","65,907",13.25,"373,955",8.09,5.87,
193,SK리츠,"4,795","상승
				10",+0.21%,500,"13,080","272,789",7.85,"153,621",319.67,0.39,
194,신세계,"132,700","상승
				2,700",+2.08%,"5,000","13,065","9,845",15.48,"14,226",7.28,5.41,
195,신영증권,"78,900",보합0,0.00%,"5,000","12,971","16,440",7.08,712,9.36,9.27,
196,한국콜마,"54,600","상승
				500",+0.92%,500,"12,888","23,605",35.76,"111,044",131.88,0.79,
197,금호타이어,"4,470","상승
				40",+0.90%,"5,000","12,841","287,260",8.21,"198,418",3.83,13.20,
198,TIGER 25-10 회사채(A+이상)액티브,"53,870",보합0,0.00%,0,"12,770","23,706",0.00,"75,887",N/A,N/A,
199,에스디바이오센서,"10,180","하락
				170",-1.64%,500,"12,672","124,477",7.26,"214,701",-20.04,-16.22,
200,롯데에너지머티리얼즈,"27,300","상승
				700",+2.63%,500,"12,588","46,111",9.34,"141,110",188.28,-2.25,
